show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s5623,Movie,Bill Burr: Walk Your Way Out,Jay Karas,United States,1/31/2017,2009.568785,TV-MA,78 min,Stand-Up Comedy
s5624,Movie,Semana Santa,Alejandra Márquez Abella,Mexico,1/31/2017,2009.557195,TV-MA,87 min,"Dramas, International Movies"
s5625,Movie,Journey to Greenland,Sébastien Betbeder,France,1/29/2017,2009.545605,TV-17,99 min,"Comedies, International Movies"
s5626,Movie,IBOY,Adam Randall,United Kingdom,1/27/2017,2009.534016,TV-MA,91 min,"International Movies, Sci-Fi & Fantasy, Thrillers"
s5627,Movie,O Silêncio do Céu,Marco Dutra,Brazil,1/25/2017,2009.522426,TV-MA,102 min,"Dramas, International Movies"
s5628,Movie,Cristela Alonzo: Lower Classy,Marcus Raboy,United States,1/24/2017,2009.510836,TV-MA,67 min,Stand-Up Comedy
s5629,Movie,Gad Gone Wild,Mario Rouleau,France,1/23/2017,2009.499246,TV-MA,57 min,Stand-Up Comedy
s5630,Movie,Pink,Aniruddha Roy Chowdhury,India,1/20/2017,2009.487656,TV-17,130 min,"Dramas, International Movies"
s5631,Movie,Take the 13,Chester Tam,United States,1/20/2017,2009.476066,TV-MA,80 min,Comedies
s5632,Movie,Neal Brennan: 3 Mics,Neal Brennan,United States,1/17/2017,2009.464477,TV-MA,66 min,Stand-Up Comedy
s5633,Movie,Berlin Calling,Hannes Stöhr,Germany,1/15/2017,2009.452887,TV-MA,105 min,"Dramas, International Movies, Music & Musicals"
s5634,Movie,Sarajevo,Andreas Prochaska,Austria,1/15/2017,2009.441297,TV-PG,98 min,"Dramas, International Movies"
s5635,Movie,Stereo,Maximilian Erlenwein,Germany,1/15/2017,2009.429707,TV-MA,91 min,"International Movies, Thrillers"
s5636,Movie,We Are Young. We Are Strong.,Burhan Qurbani,Germany,1/15/2017,2009.418117,TV-MA,123 min,"Dramas, International Movies"
s5637,Movie,Casablancas: The Man Who Loved Women,Hubert Woroniecki,France,1/13/2017,2009.406527,TV-17,82 min,"Documentaries, International Movies"
s5758,Movie,13TH,Ava DuVernay,United States,10/7/2016,2009.394938,TV-MA,101 min,Documentaries
